ticker,sector,last_bar,price,sma50,sma200,pct_vs_sma50,pct_vs_sma200,pct_off_52w_high,realized_vol,vol_rank,rsi14,beta,run_5d,dollar_vol_musd,sigma_21d,suggested_width,eligible,call_trigger,put_trigger,asof_date,next_earnings
BAC,Financials,2026-09-24,56.03,61.635,55.29,-9.094,1.338,-13.547,21.619,0.154,25.107,0.726,-3.695,1823.399,2.906,4.4,True,True,False,2026-09-24,2026-10-14
STT,Financials,2026-09-24,181.09,186.982,153.431,-3.151,18.027,-6.78,23.397,0.218,39.425,1.068,-1.082,309.669,10.163,15.2,True,False,True,2026-09-24,2026-10-14
CPAY,Financials,2026-09-24,400.32,398.424,344.232,0.476,16.294,-5.86,25.123,0.274,48.264,0.841,-0.975,184.252,24.124,36.2,True,False,True,2026-09-24,2026-11-04
MET,Financials,2026-09-24,97.25,96.198,83.301,1.094,16.745,-2.701,21.258,0.146,53.536,0.656,-0.103,287.283,4.959,7.4,True,False,True,2026-09-24,2026-11-09
ABBV,Health Care,2026-09-24,265.12,256.849,230.356,3.22,15.091,-0.32,23.44,0.22,60.231,-0.1,0.417,1221.217,14.906,22.4,True,False,True,2026-09-24,2026-10-29
WST,Health Care,2026-09-24,373.6,350.284,299.273,6.656,24.836,-0.604,25.14,0.276,67.038,0.61,1.909,200.499,22.529,33.8,True,False,True,2026-09-24,2026-10-22
